,Name,Style,Family_style,Brewery,Alc,IBU,Rating,NFamily_style,clusters
706,The Void Within the Cloak,Stout - Imperial / Double Pastry,Stout,Moksa Brewing Co,12.0,35.547770700636946,4.23,35,1
707,There Is A Cocky Goat Outside,Bock - Hell / Maibock / Lentebock,Bock,Sudden Death Brewing Co.,6.7,35.547770700636946,3.69,4,0
708,Thor,IPA - New England / Hazy,IPA,Batch Craft Beer & Kolaches,7.0,35.547770700636946,3.73,16,4
709,Thor Is My Co-Pilot,IPA - Imperial / Double New England / Hazy,IPA,Drekker Brewing Company,8.0,70.0,4.17,16,4
710,Thorn Matrix,Wild Ale - American,Wild Ale,Buddelship Brauerei,6.5,35.547770700636946,3.57,39,2
711,Three Chords And A Truth,Stout - Imperial / Double,Stout,Mikerphone Brewing,13.9,35.547770700636946,4.28,35,1
712,Thrice,IPA - Triple,IPA,Crooked Moon Brewing,11.0,35.547770700636946,3.54,16,4
713,Tickle Torture: Methode Push Pop,Sour - Smoothie / Pastry,Sour,Forager Brewery,8.0,35.547770700636946,4.17,34,3
714,Tierra Clara Blonde Ale,Blonde Ale,Blonde Ale,Cervecería Transpeninsular,4.1,15.0,3.4,3,0
715,Time Eater,IPA - Triple New England / Hazy,IPA,Lua Brewing,10.5,35.547770700636946,4.22,16,4
716,Tiny Bites,IPA - New England / Hazy,IPA,Drekker Brewing Company,5.0,35.547770700636946,3.84,16,4
717,Tipopils,Pilsner - Italian,Pilsner,Birrificio Italiano,5.2,25.0,3.57,26,0
718,Tiramisù by Rackhouse,Stout - Imperial / Double,Stout,LERVIG,13.2,35.547770700636946,4.38,35,1
719,Tongue In Cheek,Stout - Imperial / Double Pastry,Stout,Dois Corvos,10.0,35.547770700636946,3.92,35,1
720,Toska Bryggj,Scottish Ale,Scottish,OY Brewing,5.8,35.547770700636946,3.04,32,0
721,Transcending Memories,Rauchbier,Rauchbier,WarPigs Brewpub,5.2,35.547770700636946,3.2,28,0
722,Triple Gelato: Berries & Cream,Sour - Smoothie / Pastry,Sour,Funky Fluid,10.0,35.547770700636946,4.22,34,3
723,Triple Gelato: Bianco,Sour - Smoothie / Pastry,Sour,Funky Fluid,9.0,35.547770700636946,4.14,34,3
724,Triple Gelato: Viola,Sour - Smoothie / Pastry,Sour,Funky Fluid,9.0,35.547770700636946,4.13,34,3
725,Triple the Courage,IPA - Triple New England / Hazy,IPA,Folkingebrew,10.0,35.547770700636946,4.12,16,4
726,Tropical Punch,Sour - Fruited,Sour,Ten Hands Brewing,6.0,35.547770700636946,3.5,34,3
727,Tropicália,IPA - American,IPA,Creature Comforts Brewing Co.,6.6,65.0,4.05,16,4
728,Turn Up the Juice,Sour - Fruited Berliner Weisse,Sour,18th Street Brewery,5.0,35.547770700636946,3.58,34,3
729,Tutty Frutty II,Farmhouse Ale - Saison,Farmhouse,DUST Blending,6.5,35.547770700636946,3.92,8,2
730,Twilight,IPA - Triple,IPA,Willibald Farm Brewery,10.2,35.547770700636946,4.19,16,4
731,Tycoons of Taste,IPA - Imperial / Double,IPA,Moksa Brewing Co,9.0,35.547770700636946,3.89,16,4
732,Umbra 2022,Mead - Melomel,Mead,The Attic Meadery,13.0,35.547770700636946,4.19,21,1
733,Un4gettable,Barleywine - American,Barleywine,Carbon Brews,12.6,90.0,3.51,0,1
734,Unknown Passage,Wild Ale - Other,Wild Ale,Branch & Bone Artisan Ales,5.0,35.547770700636946,3.91,39,2
735,Unlock Citra,IPA - Triple,IPA,Birra MC - 77,10.0,35.547770700636946,3.81,16,4
736,Unlock Tettnang Tettnanger,Kellerbier / Zwickelbier,Kellerbier,Birra MC - 77,4.9,35.547770700636946,3.8983141762452136,17,2
737,Upsy Daisy,Stout - Pastry,Stout,ÅBEN,12.0,35.547770700636946,3.95,35,1
738,V (Five),Stout - Imperial / Double,Stout,Spartacus Brewing,15.0,35.547770700636946,4.57,35,1
739,Vampyre Disco,Sour - Smoothie / Pastry,Sour,Neon Raptor Brewing Co.,10.0,35.547770700636946,4.18,34,3
740,Velvet Cobweb (2021),Mead - Melomel,Mead,Marlobobo,13.5,35.547770700636946,4.41,21,1
741,Velvet Suit,IPA - New England / Hazy,IPA,Birra MC - 77,6.5,35.547770700636946,3.92,16,4
742,VENN,Stout - Imperial / Double Pastry,Stout,Pulpit Rock Brewing Company,11.1,35.547770700636946,4.5,35,1
743,VENN,Stout - Imperial / Double Pastry,Stout,Pulpit Rock Brewing Company,11.1,35.547770700636946,4.5,35,1
744,VHS Marathon,IPA - Imperial / Double New England / Hazy,IPA,Too Old To Die Young Brewing Co.,8.5,40.0,4.05,16,4
745,VHS Never Dies,IPA - Imperial / Double New England / Hazy,IPA,Too Old To Die Young Brewing Co.,8.0,35.0,3.77,16,4
746,Vinohradská 11,Pilsner - Czech / Bohemian,Pilsner,Vinohradský pivovar,4.5,35.547770700636946,3.54,26,0
747,Vinohradská 12,Pilsner - Czech / Bohemian,Pilsner,Vinohradský pivovar,4.8,35.547770700636946,3.57,26,0
748,Vintage Nectar 2023,Stout - Imperial / Double,Stout,3 Sons Brewing Co.,7.894397435897437,35.547770700636946,4.17,35,1
749,Violet Perception,Sour - Fruited Berliner Weisse,Sour,Branch & Bone Artisan Ales,4.6,35.547770700636946,3.84,34,3
750,Violetta,IPA - New England / Hazy,IPA,Ten Hands Brewing,6.3,40.0,3.71,16,4
751,Virmalised,IPA - American,IPA,Põhjala,6.5,50.0,3.68,16,4
752,Voodoo Love Child,Belgian Tripel,Belgian,Voodoo Brewing Co.,9.5,25.0,3.72,1,2
753,Voodoo Priest,Stout - Imperial / Double,Stout,FrauGruber Brewing,13.8,35.547770700636946,4.21,35,1
754,Vorrei Un Aperitivo,Wild Ale - Other,Wild Ale,Métaphore,4.6,35.547770700636946,3.97,39,2
755,Walled Gardens (2022),Sour - Fruited,Sour,Crossover Blendery,5.8,35.547770700636946,3.75,34,3
756,Walnotenlambiek,Lambic - Fruit,Lambic,Oud Beersel,7.5,35.547770700636946,3.51,20,2
757,Watch 'Em All Flock,Stout - Imperial / Double Pastry,Stout,Moksa Brewing Co,13.4,35.547770700636946,4.57,35,1
758,WE WERE SO IN PHASE,IPA - American,IPA,Pomona Island Brew Co.,6.8,35.547770700636946,3.69,16,4
759,What's In Your Head?,Sour - Fruited,Sour,Mikerphone Brewing,5.0,35.547770700636946,4.13,34,3
760,Where Evil Grows BA,Stout - Imperial / Double,Stout,Crooked Moon Brewing,11.0,35.547770700636946,4.14,35,1
761,Wild Dry Cider - Aged On Lambic Whisky Barrels,Cider - Dry,Cider,Oud Beersel,7.5,35.547770700636946,3.66,7,0
762,Wild Dry Cider - Blended With Lambic,Cider - Dry,Cider,Oud Beersel,7.5,35.547770700636946,3.64,7,0
763,Wild Dry Cider With Birch Leaves,Cider - Dry,Cider,Saules Cidery,6.5,35.547770700636946,3.53,7,0
764,Wild Dry Cider With Blackcurrants,Cider - Dry,Cider,Saules Cidery,6.5,35.547770700636946,3.42,7,0
765,Wild Dry Cider With Hibiscus,Cider - Dry,Cider,Saules Cidery,6.5,35.547770700636946,3.52,7,0
766,Wild Dry Cider With Honey,Cider - Dry,Cider,Saules Cidery,6.5,35.547770700636946,3.49,7,0
767,Wild Dry Cider With Lithuanian Grapes,Cider - Dry,Cider,Saules Cidery,6.5,35.547770700636946,3.5,7,0
768,Wild Dry Cider With Lithuanian Hops,Cider - Dry,Cider,Saules Cidery,6.5,35.547770700636946,3.53,7,0
769,Wild Dry Cider With Quince,Cider - Dry,Cider,Saules Cidery,6.5,35.547770700636946,3.39,7,0
770,Wild Lion: Methode Push Pop,Sour - Smoothie / Pastry,Sour,Forager Brewery,6.0,35.547770700636946,4.4,34,3
771,Wildflower IPA,IPA - New England / Hazy,IPA,Ebeltoft Gårdbryggeri,5.9,35.547770700636946,3.73,16,4
772,Willibald Export,Lager - Dortmunder / Export,Lager,Willibald Farm Brewery,6.5,35.547770700636946,3.75,19,0
773,Winkle Nectar,Stout - Imperial / Double Pastry,Stout,3 Sons Brewing Co.,14.8,35.547770700636946,4.61,35,1
774,Winter Wine,Barleywine - Other,Barleywine,Stigbergets Bryggeri,10.0,35.547770700636946,3.8,0,2
775,Wizard of Ozzie,IPA - Imperial / Double New England / Hazy,IPA,Dois Corvos,7.5,35.547770700636946,3.86,16,4
776,Wolf & Otter,Barleywine - English,Barleywine,Forager Brewery,11.0,35.547770700636946,4.48,0,1
777,Wolf Inside,IPA - Triple New England / Hazy,IPA,Spartacus Brewing,9.5,70.0,4.27,16,4
778,Wonder Wall,Sour - Fruited Berliner Weisse,Sour,Ology Brewing Co,6.0,35.547770700636946,3.84,34,3
779,World's Best,Stout - Imperial / Double Pastry,Stout,Amager Bryghus,11.0,20.0,3.8,35,1
780,WüühüüW,Farmhouse Ale - Saison,Farmhouse,DUST Blending,8.8,35.547770700636946,4.17,8,2
781,Wynona's Big Brown Ale,Brown Ale - American,Brown Ale,Voodoo Brewing Co.,7.5,31.0,3.69,6,2
782,Yardnarb,Sour - Berliner Weisse,Sour,Sour Cellars,6.0,35.547770700636946,3.84,34,3
783,YEAR OF THE HAZE CRAZE,Pilsner - Czech / Bohemian,Pilsner,Flying Couch Brewing,4.8,19.0,3.8983141762452136,26,0
784,YEAR OF THE LAGER,IPA - New England / Hazy,IPA,Flying Couch Brewing,6.66,13.0,3.93,16,4
785,?photic (aged In Buffalo Trace Bourbon Barrels Batch 2),Stout - Imperial / Double,Stout,Voodoo Brewing Co.,12.3,35.547770700636946,4.16,35,1
