Name,Style,Family style,Brewery,Alc,IBU,Rating
Double Dry Hopped Fallen Flag,IPA - New England / Hazy,IPA ,Narrow Gauge Brewing Company,7,50,4.26
Double Rigger Stout (Nitro),Stout - Imperial / Double,Stout ,Pleasanti Street,11.5,,3.9
Double Smoojee Dark Berry,Sour - Smoothie / Pastry,Sour ,Friends Company,8,,4.13
Double Smoojee Dark Berry,Sour - Smoothie / Pastry,Sour ,Friends Company,8,,4.13
Double Up Buttercup,IPA - Imperial / Double,IPA ,Pulpit Rock Brewing Company,7.7,,4.11
Dr. No,Lambic - Gueuze,Lambic ,Bofkont,6,,4.28
Dream Smoojee Strawberry & Blackcurrant,Sour - Smoothie / Pastry,Sour ,Friends Company,4.7,,3.81
Dream Walking,Stout - Imperial / Double,Stout ,Recycled Brewing Company,9.5,,3.78
DRESS SEXY AT MY FUNERAL,Stout - Imperial / Double,Stout ,Pomona Island Brew Co.,12,,3.83
Druif,Wild Ale - Other,Wild Ale,Tommie Sjef,7.5,,4.12
Dry-Hop (2021),Lambic - Traditional,Lambic ,Bofkont,6,,4.08
Dry-hopped Meerts (Amarillo + Nelson Sauvin),Wild Ale - Other,Wild Ale,Funk Factory Geuzeria,4,,3.89
Dysphoria,IPA - New England / Hazy,IPA ,Crooked Moon Brewing,6.8,,3.34
EASY,Pale Ale - American,Pale ,LERVIG,4.7,30,3.47
Easy Jeff,IPA - Session,IPA ,To Øl CPH,4.5,30,3.67
Echo,Wild Ale - Other,Wild Ale,Nevel Wild Ales,5,,3.87
Echte Liebe,Lager - Pale,Lager ,Ebeltoft Gårdbryggeri,5.3,,3.45
Echte Liebe,Lager - Other,Lager ,Mikkeller Brewpub London,5.8,30,3.36
Edel-Pils,Pilsner - German,Pilsner ,Enegren Brewing Company,4.8,35,3.84
Ein Brett Vor Dem Kopf Haben,Sour - Berliner Weisse,Sour ,Birra MC - 77,4.7,,3.54
Elderflower Power,Lambic - Other,Lambic ,Pellicle Vergistingen,,,3.96
Elise,Sour - Berliner Weisse,Sour ,Schneeeule,5.2,,3.62
Emblem of the Idol,IPA - Imperial / Double New England / Hazy,IPA ,Spartacus Brewing,8,42,4.05
Empty Calories,Lager - American Light,Lager ,Voodoo Brewing Co.,4.7,,3.38
Enigma,Lambic - Other,Lambic ,Pellicle Vergistingen,,,3.93
Enn Barrel (Cellar Series),Stout - Imperial / Double Coffee,Stout ,Põhjala,12,25,3.98
Eric's Morning Walk,Stout - Imperial / Double,Stout ,Recycled Brewing Company,9.5,,3.8
Etera - Tomo 5,Stout - Imperial / Double,Stout ,Spartacus Brewing,15,,4.47
Eunoia Batch 13,Stout - Imperial / Double Coffee,Stout ,Phase Three Brewing,13.4,,4.4
Eunoia Batch 7 (Stroopwafel),Stout - Imperial / Double,Stout ,Phase Three Brewing,15,,4.54
Expedition,Sour - Fruited,Sour ,Ten Hands Brewing,5.6,,3.66
Extra Hop,Pilsner - German,Pilsner ,Birrificio Italiano,4.8,,3.57
Eyewinker,Stout - Imperial / Double,Stout ,Amager Bryghus,11,,3.68
Fakk Alt!,IPA - New England / Hazy,IPA ,Brewski,6.5,,3.45
Family Tree IV,Sour - Fruited Berliner Weisse,Sour ,Too Old To Die Young Brewing Co.,3.5,,3.58
Farina,Kölsch,Kolsch,Halfway Crooks Beer,4.8,,3.87
Feast Till the Cows Come Home,Stout - Milk / Sweet,Stout ,Sudden Death Brewing Co.,10.5,,3.9
